Number of Spheres: 1896
Domain Length (x,y,z):  1, 1, 1
Media porosity: 0.36
log(r) Normal with mean -3.21402, variance 0.1
Mean coordination No. 10.7773
0.57679 0.338906 0.669283 0.0425492
0.354715 0.164709 0.941748 0.0268352
0.7143 0.23185 0.949912 0.0661416
0.849605 0.116473 0.952845 0.0368196
0.482705 0.382622 0.539447 0.0286371
0.033736 0.415446 0.641129 0.0403581
0.923 0.632795 0.517314 0.0298854
0.346192 0.914996 0.645426 0.0313775
0.212817 0.9383 0.473832 0.0645895
0.41125 0.00308085 0.236885 0.0270674
0.515421 0.898701 0.813569 0.0336363
0.174668 0.0934704 0.653187 0.0379566
0.877357 0.810005 0.0359966 0.0308997
0.583537 0.738079 0.248077 0.0631999
0.586477 0.438278 0.0544158 0.0261596
0.130483 0.548292 0.598109 0.060359
0.138618 0.923867 0.843792 0.0444564
0.124988 0.184624 0.138229 0.0494853
0.467625 0.679468 0.782453 0.0512561
0.152078 0.996293 0.949202 0.0358281
0.013031 0.0342143 0.711944 0.056647
0.416111 0.256978 0.751306 0.0254827
0.721014 0.219189 0.620568 0.0516055
0.517444 0.635822 0.280026 0.0315634
0.375251 0.135829 0.126841 0.0231734
0.308568 0.40922 0.53031 0.0525218
0.821789 0.228777 0.868455 0.036579
0.00694257 0.994083 0.532325 0.0496413
0.193518 0.482122 0.249347 0.0506789
0.332674 0.307016 0.459568 0.0526675
0.000981402 0.0577834 0.136637 0.0412142
0.721638 0.428485 0.564723 0.0288081
0.486014 0.136639 0.855586 0.0372669
0.142108 0.409874 0.723388 0.0481242
0.732589 0.852791 0.584624 0.0233722
0.605473 0.409348 0.967497 0.0673957
0.979559 0.22529 0.198031 0.027339
0.366773 0.824294 0.735596 0.0981645
0.359326 0.510606 0.287548 0.0444792
0.915505 0.454109 0.184911 0.0475055
0.263309 0.451053 0.0717766 0.0340866
0.639718 0.475227 0.817824 0.0311292
0.954151 0.594437 0.713845 0.0498706
0.0740118 0.479709 0.6405 0.0354853
0.765506 0.370749 0.952906 0.0366326
0.749728 0.821528 0.108977 0.033811
0.28356 0.107445 0.924446 0.0661253
0.303096 0.940528 0.455917 0.0261592
0.977641 0.17473 0.325719 0.043001
0.0640955 0.859261 0.637995 0.0452968
0.135557 0.451662 0.20154 0.0303935
0.817093 0.793859 0.151218 0.0358785
0.591257 0.17696 0.707583 0.0277417
0.645709 0.765292 0.451382 0.0762422
0.0614111 0.103669 0.0733934 0.057563
0.301086 0.358721 0.811258 0.0431728
0.546227 0.0624158 0.415237 0.0465221
